PublishTime,ListNumber,Writer,RealBookPrice,EBookPrice,Discount,BookUrl,BookName,NowBookPrice,Publisher,Tuijian
2013-04-01,220.,罗广斌杨益言,¥26.00,,7.9折,http://product.dangdang.com/20495772.html,红岩,¥20.50,中国青年出版社,99.5%推荐
2016-01-01,281.,戴维·迈尔斯DavidMyers侯玉波乐国安张智勇,¥128.00,,6.4折,http://product.dangdang.com/23840740.html,社会心理学（第11版）,¥82.00,人民邮电出版社,99.3%推荐
2014-09-01,282.,陈谌,¥32.00,¥7.90,7.4折,http://product.dangdang.com/23554332.html,世界上所有童话都是写给大人看的,¥23.70,天津人民出版社,99.2%推荐
2014-06-01,283.,施耐庵张燕均,¥28.00,¥8.00,5.5折,http://product.dangdang.com/23486550.html,水浒传 （新课标青少版）,¥15.50,中国文史出版社,99.7%推荐
2014-05-01,284.,俞敏洪,¥36.00,¥10.00,7.5折,http://product.dangdang.com/23465354.html,在绝望中寻找希望：俞敏洪写给迷茫不安的年轻人（亲笔撰写半自传,¥27.00,中信出版社,99.5%推荐
2013-02-01,285.,克兰兹薛亚男,¥58.00,,5.7折,http://product.dangdang.com/23174548.html,独一无二的你+勇敢做自己,¥32.80,北京科学技术出版社,99.6%推荐
2011-02-01,286.,StaffanN·teberg,¥29.00,¥12.00,6.0折,http://product.dangdang.com/21021603.html,番茄工作法图解：简单易行的时间管理方法(流行的时间管理方法),¥17.40,人民邮电出版社,99.2%推荐
2016-05-01,287.,拿破仑·希尔,¥48.00,,6.2折,http://product.dangdang.com/23954897.html,心静的力量（全球销量超过亿册的成功学鼻祖拿破仑·希尔，晚年收,¥29.80,北京联合出版公司,99.0%推荐
2016-06-01,288.,英格丽多莱尔爱德加·帕林·多莱尔,¥88.00,,6.7折,http://product.dangdang.com/23950912.html,多莱尔的希腊神话书,¥59.00,江苏教育出版社,99.5%推荐
2015-06-01,289.,袋鼠妈妈童书,¥57.00,,5.6折,http://product.dangdang.com/23723384.html,全脑开发聪明贴纸书3-4岁（全六册）,¥32.10,江西美术出版社,99.6%推荐
2014-12-01,290.,刘慈欣,¥32.00,¥2.99,6.2折,http://product.dangdang.com/23595567.html,时间移民（2014中国好书榜获奖图书，刘慈欣中短篇小说集）,¥19.80,江苏文艺出版社,99.5%推荐
2014-06-01,291.,麦克尔莫斯利医学MichaelMosley咪咪史宾赛MimiSpencer谢佳真,¥36.80,¥7.99,7.2折,http://product.dangdang.com/23472049.html,轻断食：正在横扫全球的瘦身革命,¥26.50,广东科技出版社,99.4%推荐
2014-04-01,292.,马里奥普佐姚向辉祁阿红依廉,¥141.00,¥70.50,6.2折,http://product.dangdang.com/23439608.html,《教父》三部曲典藏版套装（电影《教父》原著小说，男人的圣经，,¥87.60,江苏文艺出版社,99.0%推荐
2013-01-01,293.,冯友兰涂又光,¥38.00,,6.2折,http://product.dangdang.com/23172414.html,冯友兰中国哲学简史,¥23.60,北京大学出版社,99.5%推荐
2012-12-01,294.,刘同,¥35.00,¥5.99,6.3折,http://product.dangdang.com/22925062.html,谁的青春不迷茫,¥22.00,中信出版社,98.8%推荐
2011-02-01,295.,高平,¥29.80,¥3.00,6.9折,http://product.dangdang.com/20877889.html,仓央嘉措（首部重现六世达赖绚丽一生及其经典情诗的传记文学作品,¥20.60,国际文化出版公司,98.7%推荐
2012-03-01,296.,徐客,¥68.00,¥12.00,5.7折,http://product.dangdang.com/22627427.html,山海经（白话全译彩图版）,¥38.60,陕西师范大学出版社,99.3%推荐
2015-08-01,297.,威廉·西尔斯荀寿温,¥45.80,,6.0折,http://product.dangdang.com/23755235.html,西尔斯怀孕百科（全新升级版） ,¥27.70,南海出版社,99.8%推荐
2014-11-01,298.,蕾切尔卡森吕瑞兰李长生,¥30.00,¥9.99,7.9折,http://product.dangdang.com/23658015.html,寂静的春天,¥23.70,上海译文出版社,99.5%推荐
2011-07-01,299.,三毛,¥24.00,,7.5折,http://product.dangdang.com/21127782.html,三毛：万水千山走遍,¥18.00,北京十月文艺出版社,99.6%推荐
2009-08-01,300.,中江嘉男上野纪子赵静文纪子,¥138.00,,5.9折,http://product.dangdang.com/20646032.html,可爱的鼠小弟（1-12）（平装）,¥81.40,南海出版社,99.1%推荐
2016-01-01,381.,食堂君,¥45.00,,6.8折,http://product.dangdang.com/23844322.html,陪你说一世晚安（无论感情曾经多么残缺，结局一定归于平静宽广。,¥30.80,北京联合出版公司,99.4%推荐
2015-12-01,382.,刘树屏画说汉字,¥99.00,,5.5折,http://product.dangdang.com/23833072.html,澄衷蒙学堂字课图说：白话全解版（全二册）,¥54.50,北京联合出版公司,100.0%推荐
2016-01-01,383.,辰格,¥32.80,,6.2折,http://product.dangdang.com/23823510.html,戒了吧！拖延症：21天搞定拖延症（升级版）,¥20.40,天津人民出版社,99.1%推荐
2015-09-01,384.,张嘉骅,¥100.00,,5.9折,http://product.dangdang.com/23778791.html,少年读史记（套装全5册）,¥59.00,青岛出版社,99.8%推荐
2012-11-01,385.,黑柳彻子黑柳朝赵玉皎,¥145.00,,6.3折,http://product.dangdang.com/23177807.html,窗边的小豆豆套装（全六册）,¥91.60,南海出版社,99.6%推荐
2012-12-01,386.,阿弗雷德阿德勒李青霞,¥22.00,¥0.90,6.3折,http://product.dangdang.com/22900953.html,自卑与超越（经典完整译本）,¥13.80,沈阳出版社,98.8%推荐
2012-11-01,161.,余秋雨,¥35.00,¥10.17,7.1折,http://product.dangdang.com/22910622.html,千年一叹,¥24.70,长江文艺出版社,99.5%推荐
2012-06-01,387.,张爱玲,¥28.00,,7.5折,http://product.dangdang.com/22782676.html,张爱玲全集02：红玫瑰与白玫瑰（2012年全新修订版）,¥21.00,北京十月文艺出版社,99.5%推荐
2012-05-01,388.,近藤麻理惠徐明中,¥28.00,,5.0折,http://product.dangdang.com/22775098.html,怦然心动的人生整理魔法（《时代》周刊“世界最有影响力100人”！,¥14.00,译林出版社,98.9%推荐
2012-07-01,389.,戴尔·卡耐基Carnegie王红星编,¥32.00,¥4.97,6.6折,http://product.dangdang.com/22754692.html,卡耐基沟通的艺术与处世智慧,¥21.10,中国华侨出版社,99.1%推荐
2014-01-12,390.,台湾牛顿出版公司,¥96.00,,4.1折,http://product.dangdang.com/20835775.html,小牛顿科学馆（第1辑，共6册）,¥39.50,贵州教育出版社,99.4%推荐
